Rank,Address,Balance,% of coins,First In,Last In,Ins,First Out,Last Out,Outs
162,1KVyYVs7qbzuZt4s6M1hKRwtQZm2QQZLiA,"1,000 BTC ((103,416,069)",0.0050316%,2011-06-08 18:51:33,2025-02-06 20:42:00,31,2011-06-08 19:03:33,2011-06-09 15:13:26,2
163,14xWSU6vrV7H285PR96pGtvqg6XLfycSt4,"1,000 BTC ((103,416,068)",0.0050316%,2012-12-05 00:24:45,2025-02-06 20:49:51,27,,,
164,1KiQNazvLpchWb8rZx3VqhyaE56PXxcuYB,"1,000 BTC ((103,416,068)",0.0050316%,2011-06-01 02:59:50,2025-02-06 20:49:51,25,,,
165,1BNSd5s2wUm48PwVkf8CUYKabhM4iiHPmx,"1,000 BTC ((103,416,068)",0.0050316%,2012-12-05 05:23:00,2025-02-06 20:49:51,26,,,
166,1B8C6LkjpQHg6PnHzujfg3ujZ7Z3C9pEqW,"1,000 BTC ((103,416,067)",0.0050316%,2013-06-28 19:59:09,2025-02-07 10:49:03,25,,,
167,14SvnRSkHckB4NCFSNETgs7wbbwx2iN2HU,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-26 15:52:09,2025-02-07 10:49:03,25,,,
168,1Mz9MJ3Tvm8vjZrdTDXSoJrL54uUGjh459,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 06:04:54,2025-02-07 10:49:03,25,,,
169,1H5hXypTRciskxVC5nPGEF6Cw24F1AzC4,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 05:12:05,2021-05-30 20:46:56,25,,,
170,19C5VdmSD3SF8f7Che4t2hxHHWPjKPGegt,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 03:46:45,2025-02-07 10:49:03,25,,,
171,19GxhCCB59ZYYSTGSFrd5imG6wPWbhd4zr,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 01:55:22,2025-02-07 10:49:03,25,,,
172,1PNwELxYci8bcMn3D9JBpqoANXuHTZ88YM,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-04 12:17:07,2025-02-07 10:49:03,25,,,
173,1Atpo8TGJPkUtLreMrKzCGUUrxcYBHafA4,"1,000 BTC ((103,416,067)",0.0050316%,2013-11-28 08:13:48,2025-02-07 10:49:03,25,,,
174,1QFET85uxFHhud5T8RVYp8hzCbdfYHvz6x,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-30 00:45:08,2025-02-07 12:44:57,25,,,
175,1CSXJ4kB7Y9hp3MVHSs7qbzsF3xuFcQLXK,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-30 00:45:08,2025-02-07 12:44:57,25,,,
176,17pE1V6ZgNyPwsYtXaR1tJuZvvtcry8ukt,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-30 00:45:08,2021-05-30 20:46:56,25,,,
177,1AbVjHyy52HpaHC9RCiSFszXzgPEhHcQqj,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-30 00:19:27,2025-02-07 10:49:03,25,,,
178,1G6jwPp5dGbzmdvyX98REt4X7moBYME3qy,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-28 22:16:11,2025-02-07 12:44:57,25,,,
179,1DMfS71RmW7961TowcM4WPQpMoTfZnjbgR,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-28 22:16:11,2025-02-07 12:44:57,25,,,
180,17FPdPcc86QEfqoVuSBoc6khJDqS9qZUFw,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-14 00:17:01,2025-02-07 10:49:03,25,,,
181,1BrpK5VRnWb5mVaNATXy5Cf8jjUHqF3pvy,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-14 00:17:01,2025-02-07 12:44:57,25,,,
182,12iPz6KzKGX1UyodPsvKeigbsAkpGKKPNW,"1,000 BTC ((103,416,067)",0.0050316%,2013-01-22 15:09:13,2025-02-07 12:44:57,25,,,
183,1MJ7uvPRVc7GN3AUHvtQmUUE4S1m81EDxw,"1,000 BTC ((103,416,067)",0.0050316%,2013-01-22 14:32:07,2021-05-30 20:46:56,25,,,
184,1ECE8LSkmUDPYNAkysCJTzbQePunxdX2kj,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 02:41:36,2025-02-07 10:49:03,25,,,
185,1AWe32boSBj88Uxvdu4nnVZffZ3oPeLits,"1,000 BTC ((103,416,067)",0.0050316%,2011-12-14 13:41:38,2025-02-07 12:44:57,25,,,
186,1JaVPjPHZgrBBwS3XW1w4KFUZFwvuAwtVV,"1,000 BTC ((103,416,067)",0.0050316%,2012-02-26 18:04:43,2025-01-28 12:11:55,25,2013-04-14 07:25:50,2013-04-14 07:25:50,1
187,13N2qrZj54B8HrhKR65aneA3Cj2AE8XE7G,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 05:32:26,2025-02-07 12:44:57,24,,,
188,1CVyPG2eMjQhFiS84r1eddFjhCfu4RfmDS,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 05:01:54,2025-02-07 12:44:57,24,,,
